frame_id,steering_angle
1479425650969225065,-0.0397125
1479425694576858678,-0.209019
1479425589008487149,0.0171422
1479425558353060923,0.0597493
1479425619113622085,-0.0539762
1479425551001721507,0.0311103
1479425444733253036,-0.0294581
1479425595109434409,-0.0405949
1479425624214563632,0.00749864
1479425685975463740,-0.0792872
1479425607211575994,0.0459767
1479425711179746024,-0.0989553
1479425559553327787,0.00378682
1479425615963103573,-0.0435278
1479425651569374658,-0.0584726
1479425574255922408,-0.0773806
1479425516395667869,0.105221
1479425442382858459,-0.135675
1479425515545531672,0.0988859
1479425612962634353,0.13822
1479425660221010467,0.0922615
1479425643817977613,0.00731997
1479425513345380300,0.0750249
1479425603060854422,-0.121569
1479425568004739422,-0.0303913
1479425530498178628,-0.0786308
1479425541150119020,-0.0117908
1479425665471740051,-0.184526
1479425473888375278,0.114685
1479425710079602517,-0.136528
1479425654819937854,0.199343
1479425640417447731,0.105908
1479425516095727106,0.086924
1479425455335094080,-0.0714326
1479425528047769945,0.0509752
1479425670922651729,0.0422543
1479425558153049163,0.00465027
1479425647368589682,-0.0362679
1479425697927496073,0.00380053
1479425657570357485,0.0146279
1479425542550268750,-0.182342
1479425448133784412,-0.0485894
1479425616463275120,-0.00930462
1479425534198830438,-0.0880522
1479425543700514429,0.0399926
1479425656520259099,-0.032
1479425563304268169,-0.0268089
1479425626214912725,-0.00831446
1479425584307623558,-0.1022
1479425518596115590,0.0963661
1479425556452719482,0.000518145
1479425480489467589,-0.00364232
1479425579356684425,0.0760765
1479425545950864790,0.009544
1479425587258108821,-0.0541449
1479425647668713136,-0.00828431
1479425664871652629,0.0383973
1479425448333826064,-0.0707162
1479425703728559905,-0.125987
1479425653819732618,-0.211414
1479425539599674596,-0.0879387
1479425538749604411,0.0261017
1479425475438522963,-0.071208
1479425632315986881,-0.0489114
1479425597710017397,0.0560635
1479425714630335889,0.0146169
1479425669222362405,0.0274811
1479425642067712950,0.0603921
1479425688125834238,-0.0388408
1479425624014502854,-0.0217984
1479425674573430339,-0.0838192
1479425694326842291,-0.265099
1479425633516187795,0.0625789
1479425543750480658,0.020267
1479425711679881125,-0.0561896
1479425640917502233,0.0507142
1479425495542133334,-0.0407866
1479425541100026278,-0.124008
1479425494091871521,0.0435671
1479425537499378866,0.0279786
1479425664621562982,-0.0639285
1479425680474526816,-0.0196797
1479425654269751846,-0.115612
1479425687225661672,-0.0296016
1479425699127743537,0.0431091
1479425630015603946,0.00661273
1479425577756431664,0.0854101
1479425504193582094,-0.0171329
1479425651819415270,-0.0199872
1479425571455369573,0.0093446
1479425652569504591,-0.0744053
1479425500392944709,-0.0259113
1479425593359184370,-0.0295861
1479425460185897187,0.125629
1479425650119153568,-0.0971584
1479425628965430660,0.093524
