frame_id,steering_angle
1479425650969225065,0.282671
1479425694576858678,-0.136178
1479425589008487149,-0.0487824
1479425558353060923,-0.128942
1479425619113622085,-0.651109
1479425551001721507,1.14337
1479425444733253036,-0.00730785
1479425595109434409,0.312568
1479425624214563632,1.46089
1479425685975463740,-0.0266485
1479425607211575994,2.6839
1479425711179746024,-0.00139075
1479425559553327787,-0.046598
1479425615963103573,1.95545
1479425651569374658,1.0962
1479425574255922408,0.05712
1479425516395667869,-0.0446424
1479425442382858459,0.640369
1479425515545531672,0.0665335
1479425612962634353,0.000713162
1479425660221010467,0.327363
1479425643817977613,-1.2148
1479425513345380300,0.136161
1479425603060854422,1.3427
1479425568004739422,-0.321994
1479425530498178628,-0.467647
1479425541150119020,0.302867
1479425665471740051,-0.110088
1479425473888375278,0.0202915
1479425710079602517,-0.0455707
1479425654819937854,2.64289
1479425640417447731,-0.0284239
1479425516095727106,-0.11173
1479425455335094080,0.0134424
1479425528047769945,1.53076
1479425670922651729,-0.200332
1479425558153049163,-0.182665
1479425647368589682,0.0897156
1479425697927496073,-0.00609379
1479425657570357485,0.289561
1479425542550268750,4.07252
1479425448133784412,-0.0960215
1479425616463275120,-0.0169933
1479425534198830438,-0.552391
1479425543700514429,0.36401
1479425656520259099,0.752731
1479425563304268169,0.0940986
1479425626214912725,0.568095
1479425584307623558,0.0592334
1479425518596115590,-0.029527
1479425556452719482,0.100946
1479425480489467589,0.209396
1479425579356684425,1.95487
1479425545950864790,-0.159412
1479425587258108821,0.0363654
1479425647668713136,0.0732806
1479425664871652629,0.498319
1479425448333826064,0.0347019
1479425703728559905,-0.085161
1479425653819732618,2.90655
1479425539599674596,0.0271633
1479425538749604411,-0.441374
1479425475438522963,0.78793
1479425632315986881,0.340519
1479425597710017397,-0.973297
1479425714630335889,-0.439506
1479425669222362405,-0.194315
1479425642067712950,-0.077471
1479425688125834238,-0.0420884
1479425624014502854,0.6243
1479425674573430339,0.879409
1479425694326842291,-0.185648
1479425633516187795,0.465885
